n_rpm,fz_mm,ap_mm,ae_mm,vib_x_mean_abs,vib_x_std,vib_x_rms,vib_x_peak,vib_y_mean_abs,vib_y_std,vib_y_rms,vib_y_peak,vib_z_mean_abs,vib_z_std,vib_z_rms,vib_z_peak,Ra_um,harm_1,harm_2,harm_3,harm_4,harm_5,harm_6,harm_7,harm_8
1436.35,0.1436,2.33,5.191,0.479208,0.588407,0.588528,1.236825,0.3549,0.406874,0.40688,0.677413,0.200199,0.232684,0.23285,0.397126,2.5844,2.595089,1.059801,0.676067,0.389484,0.258731,0.231309,0.19369,0.162604
2559.06,0.07,1.648,3.123,0.139489,0.156146,0.156146,0.258498,0.089885,0.109624,0.109625,0.218405,0.055128,0.062513,0.062513,0.107747,0.6977,0.792494,0.284011,0.159955,0.11902,0.091235,0.059806,0.055425,0.045105
2290.81,0.107,1.692,5.496,0.274847,0.326658,0.326695,0.554139,0.197503,0.227224,0.227224,0.431403,0.111533,0.131166,0.131198,0.226271,1.5228,1.658981,0.590745,0.402744,0.253059,0.186444,0.146024,0.107698,0.094469
646.48,0.048,2.996,4.032,0.192492,0.219625,0.220065,0.431528,0.122186,0.155357,0.155617,0.284539,0.075566,0.089832,0.090007,0.155527,0.8049,0.836755,0.359309,0.203422,0.140645,0.109313,0.078621,0.06346,0.047636
582.83,0.0549,1.674,1.536,0.07658,0.088204,0.088218,0.158058,0.050582,0.061245,0.061266,0.108545,0.029597,0.035427,0.035428,0.060748,0.5434,0.620043,0.217266,0.129938,0.086133,0.055152,0.049437,0.032721,0.030531
1189.37,0.0266,2.78,7.182,0.137758,0.152385,0.15239,0.285067,0.093147,0.106826,0.106828,0.206084,0.051785,0.060635,0.06064,0.100965,0.5137,0.588436,0.247041,0.140166,0.093062,0.058017,0.051364,0.043327,0.025875
1501.59,0.1409,2.36,2.689,0.334932,0.418196,0.418197,0.820428,0.249901,0.292743,0.292743,0.554388,0.14337,0.167512,0.167513,0.322814,2.2214,2.215887,0.92911,0.510834,0.326533,0.263953,0.189942,0.157997,0.132935
1201.01,0.0865,2.788,1.347,0.177346,0.214647,0.214647,0.431727,0.132441,0.150232,0.150232,0.254733,0.076075,0.085869,0.085869,0.143219,1.0872,1.239019,0.450611,0.251095,0.186906,0.127804,0.093022,0.078188,0.065126
1562.69,0.036,2.777,2.932,0.111608,0.131319,0.131347,0.249691,0.076785,0.093026,0.093096,0.197975,0.045562,0.052802,0.052815,0.081915,0.5276,0.551033,0.227813,0.132446,0.088623,0.06383,0.047403,0.03549,0.034444
853.51,0.0405,2.066,5.002,0.13147,0.146479,0.14648,0.223811,0.082177,0.098055,0.098303,0.174169,0.050467,0.057052,0.057085,0.096655,0.5998,0.648714,0.245982,0.15461,0.103653,0.073958,0.05818,0.040378,0.033711
2710.43,0.1485,0.625,4.879,0.130666,0.157247,0.157248,0.333105,0.098597,0.109917,0.109917,0.196743,0.055342,0.06285,0.06285,0.10955,1.1895,1.252731,0.500844,0.262984,0.172189,0.135553,0.10507,0.073832,0.06797
1275.47,0.0936,1.667,5.826,0.263038,0.286149,0.286417,0.44071,0.174201,0.199354,0.199435,0.357114,0.103391,0.11501,0.115151,0.184487,1.4219,1.381672,0.605193,0.326429,0.245407,0.164553,0.120978,0.10727,0.076795
711.73,0.0367,2.199,6.904,0.142113,0.161067,0.161224,0.255356,0.097397,0.116403,0.116412,0.203987,0.056445,0.065054,0.065056,0.125386,0.7106,0.781568,0.27622,0.193973,0.114692,0.085308,0.067336,0.044226,0.038833
940.21,0.0892,1.875,7.889,0.30086,0.366309,0.366849,0.642895,0.2276,0.249933,0.249934,0.451197,0.131659,0.144318,0.144425,0.241551,1.6809,1.67947,0.699776,0.403345,0.265117,0.198285,0.146662,0.117514,0.091181
2950.36,0.0213,1.417,5.713,0.04848,0.055538,0.055538,0.099839,0.033897,0.038888,0.038889,0.071076,0.018524,0.021982,0.021987,0.041736,0.2226,0.228016,0.089605,0.061448,0.04144,0.027627,0.017769,0.017595,0.012957
